name,address,website,guide_path
1er Beisl im Lexenhof,"Am Anger 4, Nußdorf am Attersee, 4865, Austria",https://lexenhof.at/,/austria/nudorf-am-attersee/nudorf-am-attersee/1erBeislImLexenhof
2 Estaciones,"Pintor Salvador Abril 28, Valencia, 46005, Spain",https://www.restaurante2estaciones.com/,/spain/valencia/valencia/2Estaciones
2 Johns Steak & Seafood,"2151 Airline Dr, Bossier City, LA 71111",https://www.2johnsrestaurant.com,/usa/louisiana/shreveport/2JohnsSteakSeafood
2 Passos,"Praia do Ancão, Almancil, 8135-170, Portugal",https://www.restaurante2passos.com/,/portugal/almancil/almancil/2Passos
2 Spring,"2 Spring St, Oyster Bay, NY 11771",https://www.2springstreet.com,/usa/new-york/long-island/2Spring
20 Chapel,"20 Chapel St, Marrickville NSW 2204, Australia",https://20chapel.com.au,/australia/sydney/sydney/20Chapel
20 Eiffel,"20 rue de Monttessuy, Paris, 75007, France",https://www.restaurant20eiffel.com,/france/paris/paris/20Eiffel
20 Posti,"via della Murina 4/a, Empoli, 50053, Italy",https://ristorante20posti.it/,/italy/empoli/empoli/20Posti
20 Stories Manchester,"No. 1 Spinningfields, 1 Hardman St, Manchester,M3 3EB",https://www.afternoontea.co.uk/uk/north-west/manchester/20-stories-manchester/,/uk/north-west/manchester/20StoriesManchester
20 Victoria,"20 Victoria St., Old Town, Toronto, Ontario, ON M5C 2A1",https://www.instagram.com/twentyvictoria/,/canada/toronto/toronto/20Victoria
20° RESTOBAR,"Mutter-Ey-Platz 3, Neubrückstraße, Düsseldorf, 40213, Germany",https://www.20grad.com,/germany/dsseldorf/dsseldorf/20Restobar
20Tre,"via David Chiossone 20 r, Genoa, 16123, Italy",https://www.ristorante20tregenova.it/,/italy/genoa/genoa/20tre
20zwanzig,"Thyrahöhe 24, Südharz, 06536, Germany",https://www.hotel-freiwerk.de,/germany/sdharz/sdharz/20zwanzig
21,"Trinity Gardens, Newcastle Upon Tyne, NE1 2HH, United Kingdom",https://21newcastle.co.uk,/uk/newcastle-upon-tyne/newcastle-upon-tyne/21
21 Club Steak & Seafood,"6380 Fallsview Blvd, Niagara Falls, ON L2G 7X5, Canada",https://www.fallsviewcasinoresort.com/dining/business/21-club,/canada/niagara-region/niagara-region/21ClubSteakSeafood
21 Grams,"2nd Floor, Meyan Mall, Al Thanya Street, Umm Suqeim 2, Dubai",http://21grams.me/,/uae/other/dubai/21Grams
21.9,"Località Carretta 4, Piobesi d'Alba, 12040, Italy",https://www.ristorante21punto9.it/,/italy/piobesi-dalba/piobesi-dalba/219
212,"Amstel 212, Centrum, Amsterdam, 1017 AH",http://212.amsterdam,/netherlands/amsterdam/amsterdam/212
21212,"3 Royal Terrace, Edinburgh EH7 5AB, United Kingdom",https://www.21212restaurant.co.uk,/uk/edinburgh/edinburgh/21212
221 South Oak,"221 S Oak St, Telluride, CO 81435",https://www.221southoak.com,/usa/colorado/telluride/221SouthOak
2210 by NattyCanCook,"75 Norwood Road, London, SE24 9AA, United Kingdom",https://www.2210bynattycancook.com/,/uk/london/london/2210ByNattycancook
24 - Le Restaurant,"24 rue Jean-Mermoz, Paris, 75008, France",https://www.24lerestaurant.fr/,/france/paris/paris/24LeRestaurant
